% t(s)		(h)_i (i=1,#sensors)		(hu)_i (i=1,#sensors)
 711.762E+00     4.990E+00    51.526E-06
 717.480E+00     4.990E+00    49.527E-06
 720.338E+00     4.990E+00    47.050E-06
 726.055E+00     4.990E+00    39.895E-06
 731.773E+00     4.990E+00    31.985E-06
 737.490E+00     4.990E+00    25.722E-06
 740.349E+00     4.990E+00    23.783E-06
 746.066E+00     4.990E+00    22.916E-06
 751.783E+00     4.990E+00    25.981E-06
 757.501E+00     4.990E+00    31.852E-06
 760.359E+00     4.990E+00    35.197E-06
 766.077E+00     4.990E+00    41.184E-06
 771.794E+00     4.990E+00    44.077E-06
 777.511E+00     4.990E+00    42.582E-06
 780.370E+00     4.990E+00    40.532E-06
 786.087E+00     4.990E+00    35.395E-06
 791.805E+00     4.990E+00    30.671E-06
 797.522E+00     4.990E+00    27.839E-06
 800.381E+00     4.990E+00    27.411E-06
 806.098E+00     4.990E+00    28.679E-06
 811.815E+00     4.990E+00    32.368E-06
 817.532E+00     4.990E+00    37.213E-06
 820.391E+00     4.990E+00    39.538E-06
 826.108E+00     4.990E+00    42.776E-06
 831.826E+00     4.990E+00    42.784E-06
 837.543E+00     4.990E+00    39.530E-06
 840.402E+00     4.990E+00    37.205E-06
 846.119E+00     4.990E+00    32.502E-06
 851.836E+00     4.990E+00    28.692E-06
 857.554E+00     4.990E+00    26.349E-06
 860.412E+00     4.990E+00    25.814E-06
 866.130E+00     4.990E+00    26.082E-06
 871.847E+00     4.990E+00    27.956E-06
 877.564E+00     4.990E+00    31.058E-06
 880.423E+00     4.990E+00    32.889E-06
 886.140E+00     4.990E+00    36.598E-06
 891.857E+00     4.990E+00    39.589E-06
 897.575E+00     4.990E+00    40.932E-06
 900.433E+00     4.990E+00    40.846E-06
 906.151E+00     4.990E+00    39.283E-06
 911.868E+00     4.990E+00    36.497E-06
 917.585E+00     4.990E+00    33.510E-06
 920.444E+00     4.990E+00    32.272E-06
 926.161E+00     4.990E+00    30.819E-06
 931.879E+00     4.990E+00    31.027E-06
 937.596E+00     4.990E+00    32.679E-06
 940.455E+00     4.990E+00    33.840E-06
 946.172E+00     4.990E+00    36.261E-06
 951.889E+00     4.990E+00    38.029E-06
 957.606E+00     4.990E+00    38.344E-06
 960.465E+00     4.990E+00    37.928E-06
 966.182E+00     4.990E+00    36.236E-06
 971.900E+00     4.990E+00    34.033E-06
 977.617E+00     4.990E+00    32.194E-06
 980.476E+00     4.990E+00    31.626E-06
 986.193E+00     4.990E+00    31.429E-06
 991.910E+00     4.990E+00    32.456E-06
 997.628E+00     4.990E+00    34.325E-06
   1.000E+03     4.990E+00    35.389E-06
